Zipcode,Lat,Long
533229,16.6936,81.8771
533212,16.5649,82.1822
533221,16.5865,81.9808
533210,16.4405,81.9862
533228,16.6979,81.9862
533215,16.528,81.9808
533213,16.514,82.0734
533250,16.387,81.8115
533244,16.4129,81.8771
533240,16.5766,81.8771
533223,16.7122,81.9044
533274,16.6919,81.8334
533251,16.413,81.7295
533218,16.5379,82.0107
533253,16.4394,81.806
533220,16.6489,82.2366
533239,16.6316,81.9371
533254,16.4056,81.8388
533238,16.7387,81.8334
533249,16.5064,81.8771
533241,16.6454,81.9917
533237,16.7911,81.8279
533242,16.4762,81.8498
531022,17.9348,83.0254
531027,17.9335,82.6699
531115,17.5471,82.4103
531036,17.8139,82.9394
531077,18.1367,82.7455
531035,17.7722,83.0898
531040,18.3284,82.5186
531030,18.0326,82.7994
531002,17.553,83.0522
531117,17.591,82.6375
531055,17.5761,82.8748
531001,17.6749,83.0039
531111,17.969,82.3669
531084,17.6655,82.4319
531028,17.9415,82.8856
531151,18.2668,82.7563
531149,18.2779,83.0576
531034,17.8535,83.0576
531031,17.6589,82.8856
531011,17.5572,83.0039
531029,18.0455,82.5186
531085,17.5083,82.6267
531021,17.6301,83.0684
531113,17.6177,82.7239
531082,17.483,82.7401
531023,17.7858,82.977
531081,17.3817,82.7023
531032,17.7456,83.0039
531075,17.8846,82.9394
531087,17.7459,82.0843
531026,17.7401,82.8533
531020,17.561,83.1113
531025,17.8409,82.7131
531083,17.4758,82.7023
531024,18.0732,82.6267
531105,17.9585,82.1061
531133,17.8696,82.2366
531061,17.4836,82.9179
531114,17.7346,82.7023
531126,17.402,82.6159
531127,17.3072,82.5943
531019,17.6954,83.0845
531033,17.6035,82.9824
531060,17.4562,82.8102
531116,17.7873,82.5402
533408,17.2311,82.4428
533449,17.2027,82.3126
533401,17.3154,82.4969
533428,17.4395,82.0625
533407,17.4434,82.4644
533448,17.1044,82.3506
533436,17.4707,82.2583
533406,17.3105,82.3669
533437,17.0657,82.1061
533005,17.0368,82.2692
533016,16.8936,82.204
533468,16.8443,82.1387
533006,16.9445,82.155
533431,17.1977,82.1822
533429,17.2656,82.117
533003,16.9717,82.2529
533445,17.1776,82.2692
533433,17.1204,82.155
533483,17.624,81.9753
533450,17.1064,82.2475
533444,17.2327,82.3289
533432,17.2447,82.1822
533446,17.3436,82.3126
533344,16.9355,82.0734
533461,16.8363,82.2366
533002,16.9383,82.223
533430,17.2585,82.2366
533291,17.0736,82.008
533464,16.7409,82.1931
533463,16.7547,82.2475
533004,16.9663,82.2271
533001,16.9482,82.2529
533435,17.2482,81.9753
533434,17.0075,82.117
533462,16.8976,82.155
533447,17.1582,82.3777
